"040001","E_1","31701914","B","E","0","0","1","0","","040001","01121997","31122024","21032022","31122023","1","10001";
"040002","E_2","31701914","B","E","0","0","1","0","","040002","01122017","31122024","21032022","31122023","1","20005";
"040003","E_3","31701914","B","E","0","0","1","0","","040003","01122017","31122024","21032022","31122023","1","30014";
"040004","E_4","31701914","B","E","0","0","1","0","","040004","01121997","31122024","21032022","31122023","1","40018";
"040006","E_6","31701914","B","E","0","0","1","0","","040006","09121997","31122024","21032022","31122023","1","60010";
"040612","E_R1","31701914","B","E","0","0","1","0","","040612","09121997","31122024","21032022","31122023","1","61018";
"040622","E_R2","31701914","B","E","0","0","1","0","","040622","01121997","31122024","21032022","31122023","1","62021";
"040632","E_R3","31701914","B","E","0","0","1","0","","040632","01121997","31122024","21032022","31122023","1","63013";
"040642","E_R4","31701914","B","E","0","0","1","0","","040642","01121997","31122024","21032022","31122023","1","64014";
"040650","E_R5","31701914","B","E","0","0","1","0","","040650","01121997","31122024","21032022","31122023","1","65011";
"040662","E_R6","31701914","B","E","0","0","1","0","","040662","01121997","31122024","21032022","31122023","1","66014";
"040672","E_R7","31701914","B","E","0","0","1","0","","040672","01121997","31122024","21032022","31122023","1","67016";
"040680","E_R8","31701914","B","E","0","0","1","0","","040680","01121997","31122024","21032022","31122023","1","68010";
"040007","E_7","31701914","B","E","0","0","1","0","","040007","01121997","31122024","21032022","31122023","1","70004";
"040009","E_9","31701914","B","E","0","0","1","0","","040009","09121997","31122024","21032022","31122023","1","90017";
"040010","A_10","31701914","B","A","0","0","1","0","","040010","26042005","31122024","25082021","31122023","1","10064";
"040101","A_N1","31701914","B","A","0","0","1","0","","040101","01122016","31122024","01112021","31122023","1","10131";
"040102","A_N2","31701914","B","A","0","0","1","0","","040102","01122016","31122024","01112021","31122023","1","10228";
"040103","A_N3","31701914","B","A","0","0","1","0","","040103","26042005","31122024","01112021","31122023","1","10324";
"040104","A_N4","31701914","B","A","0","0","1","0","","040104","01122016","31122024","01112021","31122023","1","10411";
"040105","A_N5","31701914","B","A","0","0","1","0","","040105","01122016","31122024","01012022","31122023","1","10513";
"040106","A_N6","31701914","B","A","0","0","1","0","","040106","01122016","31122024","01012022","31122023","1","10609";
"040107","A_N7","31701914","B","A","0","0","1","0","","040107","01122016","31122024","01112021","31122023","1","10707";
"040012","A_12","31701914","B","A","0","0","1","0","","040012","26042005","31122024","01012022","31122023","1","12044";
